#FamilyID	pvalue	Significant at 0.05
OG0001368	0.143	n
OG0001370	0.1	n
OG0001371	0.137	n
OG0001372	0.138	n
OG0001373	0.138	n
OG0001375	0.138	n
OG0001376	0.267	n
OG0001377	0.005	y
OG0001378	0.137	n
OG0001382	0.1	n
OG0001385	0.199	n
OG0001386	0.1	n
OG0001387	0.1	n
OG0001391	0.357	n
OG0001393	0.776	n
OG0001396	0.284	n
OG0001399	0.141	n
OG0001400	0.267	n
OG0001402	0.087	n
OG0001404	0.016	y
OG0001407	0.267	n
OG0001408	0.008	y
OG0001409	0.284	n
OG0001410	0.212	n
OG0001412	0.087	n
OG0001413	0.1	n
OG0001415	0.143	n
OG0001418	0.199	n
OG0001419	0.104	n
OG0001420	0.137	n
OG0001421	0.199	n
OG0001422	0.137	n
OG0001426	0.357	n
OG0001431	0.137	n
OG0001433	0.284	n
OG0001434	0.137	n
OG0001435	0.143	n
OG0001436	0.087	n
OG0001437	0.1	n
OG0001438	0.138	n
OG0001439	0.064	n
OG0001440	0.137	n
OG0001441	0.199	n
OG0001444	0.1	n
OG0001445	0.041	y
OG0001446	0.267	n
OG0001447	0.267	n
OG0001448	0.104	n
OG0001449	0.284	n
OG0001450	0.007	y
OG0001451	0.143	n
OG0001452	0.137	n
OG0001453	0.212	n
OG0001454	0.284	n
OG0001457	0.008	y
OG0001458	0.064	n
OG0001459	0.138	n
OG0001460	0.001	y
OG0001468	0.001	y
OG0001469	0.137	n
OG0001470	0.137	n
OG0001471	0.137	n
OG0001472	0.143	n
OG0001474	0.104	n
OG0001475	0.267	n
OG0001476	0.199	n
OG0001477	0.137	n
OG0001478	0.1	n
OG0001481	0.267	n
OG0001482	0.267	n
OG0001483	0.267	n
OG0001484	0.085	n
OG0001485	0.267	n
OG0001489	0.137	n
OG0001492	0.1	n
OG0001493	0.1	n
OG0001494	0.1	n
OG0001495	0.104	n
OG0001496	0.212	n
OG0001497	0.047	y
OG0001498	0.143	n
OG0001499	0.1	n
OG0001500	0.1	n
OG0001501	0.1	n
OG0001502	0.1	n
OG0001503	0.1	n
OG0001504	0.1	n
OG0001505	0.1	n
OG0001506	0.1	n
OG0001507	0.1	n
OG0001509	0.1	n
OG0001510	0.1	n
OG0001511	0.1	n
OG0001512	0.1	n
OG0001514	0.199	n
OG0001515	0.008	y
OG0001517	0.1	n
OG0001518	0.1	n
OG0001519	0.267	n
OG0001521	0.199	n
OG0001522	0.267	n
OG0001524	0.199	n
OG0001525	0.143	n
OG0001526	0.104	n
OG0001527	0	y
OG0001528	0.008	y
OG0001529	0.143	n
OG0001531	0.1	n
OG0001532	0.143	n
OG0001533	0.267	n
OG0001534	0.199	n
OG0001535	0.32	n
OG0001536	0.137	n
OG0001540	0.143	n
OG0001541	0.1	n
OG0001542	0.102	n
OG0001544	0.143	n
OG0001545	0.138	n
OG0001546	0.1	n
OG0001547	0.1	n
OG0001548	0.1	n
OG0001549	0.267	n
OG0001550	0.1	n
OG0001552	0.199	n
OG0001554	0.137	n
OG0001556	0.137	n
OG0001557	0.137	n
OG0001558	0.143	n
OG0001559	0.1	n
OG0001560	0.138	n
OG0001561	0.014	y
OG0001562	0.284	n
OG0001563	0.143	n
OG0001564	0.143	n
OG0001566	0.143	n
OG0001567	0.277	n
OG0001568	0.1	n
OG0001569	0.284	n
OG0001571	0.143	n
OG0001572	0.104	n
OG0001574	0.32	n
OG0001575	0.199	n
OG0001576	0.137	n
OG0001577	0.143	n
OG0001578	0.1	n
OG0001580	0.776	n
OG0001581	0.137	n
OG0001583	0.357	n
OG0001584	0.284	n
OG0001585	0.137	n
OG0001586	0.137	n
OG0001587	0.137	n
OG0001588	0.137	n
OG0001589	0.143	n
OG0001590	0.008	y
OG0001591	0.776	n
OG0001594	0.143	n
OG0001595	0.137	n
OG0001596	0.143	n
OG0001598	0.212	n
OG0001599	0.137	n
OG0001600	0.137	n
OG0001602	0.267	n
OG0001603	0.1	n
OG0001604	0.141	n
OG0001605	0.137	n
OG0001606	0.137	n
OG0001608	0.1	n
OG0001609	0.1	n
OG0001610	0.138	n
OG0001611	0.104	n
OG0001612	0.104	n
OG0001613	0	y
OG0001615	0.1	n
OG0001616	0.1	n
OG0001617	0.1	n
OG0001618	0.1	n
OG0001619	0.1	n
OG0001621	0.143	n
OG0001622	0.1	n
OG0001623	0.1	n
OG0001624	0.1	n
OG0001625	0.1	n
OG0001626	0.1	n
OG0001627	0.137	n
OG0001628	0.1	n
OG0001629	0.061	n
OG0001630	0.1	n
OG0001632	0.143	n
OG0001635	0.199	n
OG0001637	0.137	n
OG0001638	0.277	n
OG0001640	0.32	n
OG0001641	0.1	n
OG0001644	0.016	y
OG0001645	0.1	n
OG0001646	0.137	n
OG0001648	0.1	n
OG0001649	0.137	n
OG0001650	0.1	n
OG0001651	0.137	n
OG0001652	0.1	n
OG0001653	0.199	n
OG0001654	0.284	n
OG0001655	0.137	n
OG0001657	0.267	n
OG0001658	0.284	n
OG0001661	0.137	n
OG0001664	0.137	n
OG0001665	0.137	n
OG0001666	0.284	n
OG0001668	0.104	n
OG0001669	0.284	n
OG0001671	0	y
OG0001673	0.137	n
OG0001674	0.1	n
OG0001675	0.137	n
OG0001678	0.284	n
OG0001680	0.143	n
OG0001681	0.1	n
OG0001682	0.1	n
OG0001687	0.199	n
OG0001688	0.277	n
OG0001691	0.063	n
OG0001692	0.137	n
OG0001693	0.137	n
OG0001695	0.063	n
OG0001696	0.104	n
OG0001697	0.32	n
OG0001698	0.143	n
OG0001700	0.1	n
OG0001701	0.202	n
OG0001703	0.284	n
OG0001704	0.002	y
OG0001705	0.284	n
OG0001706	0.1	n
OG0001707	0.001	y
OG0001709	0.199	n
OG0001712	0.1	n
OG0001713	0.087	n
OG0001714	0.104	n
OG0001715	0.199	n
OG0001717	0.137	n
OG0001719	0.008	y
OG0001720	0.143	n
OG0001721	0.143	n
OG0001722	0.267	n
OG0001723	0.137	n
OG0001724	0.141	n
OG0001725	0.104	n
OG0001727	0.284	n
OG0001728	0.141	n
OG0001729	0.143	n
OG0001731	0.137	n
OG0001732	0.141	n
OG0001733	0.32	n
OG0001734	0.1	n
OG0001735	0.267	n
OG0001736	0.008	y
OG0001737	0.063	n
OG0001739	0.32	n
OG0001740	0.141	n
OG0001742	0.138	n
